AROKATO,nom,IDREG,pays,type,lat,long,SITU,CAP,CAPNAT,GAS,typharris1963,1959,1970,1979,1989,2002,2010,T5970,T7079,T7989,T8902,T0210
AR20401,Voronej,RUS78,Russie,gorod,51.66666667,39.18333333,O,1,0,0,1B1,470.672,711.104,851.677,971.439,942.327,980.581,3.822683713,2.024539724,1.324404871,-0.233773471,0.498650457
AKA011,Almaty,KAZ005,Kazakhstan,gorod,43.25,76.95,E,1,0,0,1A1,464.322,746.301,934.389,1165.561,1195.638,1413.182,4.408507456,2.528821611,2.235265467,0.196170149,2.111537981
AUA08107,Zaporizhzha,UKR09,Ukraine,gorod,47.82,35.18,O,1,0,0,1B1,451.137,657.89,780.745,883.909,814.473,780.733,3.489189401,1.920552583,1.248788289,-0.627354376,-0.527453149
AUA04111,Krivii Rig,UKR05,Ukraine,gorod,47.92,33.35,O,0,0,0,3B1,431.185,625.945,696.304,758.216,705.866,670.397,3.446472182,1.190630449,0.855457895,-0.54881961,-0.6423677
AR04401,Krasnoiarsk,RUS34,Russie,gorod,56,92.93333333,E,1,0,0,1B1,423.497,680.637,845.519,987.708,981.983,1047.312,4.407861712,2.439520098,1.566507757,-0.044706242,0.808351714
AUA13118,Lviv,UKR15,Ukraine,gorod,49.84,24.03,O,1,0,0,1B1,417.872,568.403,685.817,812.356,755.054,760.391,2.836347825,2.108364618,1.707695613,-0.561107508,0.088082504
AR78401,Iaroslavl,RUS79,Russie,gorod,57.63333333,39.86666667,O,1,0,0,1B2,407.1,517.3,597,633,613.088,591.486,2.201744029,1.604899428,0.587250683,-0.245559088,-0.447377117
AR65476,Nijni-Taguil,RUS63,Russie,gorod,57.91666667,59.96666667,E,0,0,1,3B1,397.2,444.6,473.6,515.6,469.427,433.932,1.030133988,0.704560229,0.853301917,-0.71908267,-0.977998213
AR25401,Irkoutsk,RUS17,Russie,gorod,52.28333333,104.3,E,1,0,0,1B2,378.9,480.9,590.4,673.8,641.124,635.185,2.19080818,2.305519146,1.330098726,-0.381657867,-0.116264746
AR05401,Vladivostok,RUS53,Russie,gorod,43.11666667,131.9,E,1,0,0,1B2,372.968,556.824,684.366,803.535,734.928,733.964,3.710421098,2.318054906,1.618232637,-0.684173483,-0.016405581
AR03401,Krasnodar,RUS33,Russie,gorod,45.03333333,38.98333333,O,1,0,1,1B2,359.119,528.799,640.387,697.023,731.969,789.741,3.580374419,2.150171001,0.851058361,0.377014724,0.954108876
AR24401,Ivanovo,RUS18,Russie,gorod,57,40.98333333,O,1,0,0,1B2,355.5,441.9,489.6,508,460.482,438.685,1.997491412,1.145456449,0.369608538,-0.752597393,-0.604318497
AR32401,Kemerovo,RUS25,Russie,gorod,55.33333333,86.06666667,E,1,0,0,1B2,346.779,453.996,539.359,590.907,560.938,561.526,2.479325572,1.932809809,0.916958679,-0.39957083,0.013097047
AUA05126,Kramatorsk,UKR06,Ukraine,gorod,48.72,37.53,O,0,0,0,3A1,345.108,432.799,494.749,514.679,462.494,428.75,2.079656973,1.49751479,0.395709291,-0.819013012,-0.94252155
AR01401,Barnaoul,RUS02,Russie,gorod,53.36666667,83.75,E,1,0,0,1B2,344.438,500.098,596.582,672.493,679.307,682.529,3.448021074,1.979477124,1.204951768,0.077579757,0.059165698
AR08401,Khabarovsk,RUS26,Russie,gorod,48.48333333,135.0666667,E,1,0,1,1B2,322.7,436,527.8,600.6,583.072,577.668,2.773390458,2.145754771,1.300501222,-0.227575098,-0.116324399
AR75438,Magnitogorsk,RUS66,Russie,gorod,53.38333333,59.03333333,E,0,0,0,3B1,311.1,364.2,406.1,440.3,418.545,408.401,1.442936377,1.217308137,0.811846526,-0.389025188,-0.306216151
AR12401,Astrakhan,RUS06,Russie,gorod,46.35,48.03333333,O,1,0,1,1B2,295.8,410.5,461,509.2,504.501,520.662,3.0238384,1.297479763,0.999389105,-0.071290305,0.394918467
AUA05132,Maryoupol' / jdanov,UKR06,Ukraine,gorod,47.1,37.55,O,0,0,0,3A1,291.426,425.75,512.612,529.724,500.766,480.129,3.506120902,2.084391822,0.328908646,-0.431507194,-0.524668592
AUA12117,Lougansk,UKR14,Ukraine,gorod,48.57,39.33,O,1,0,0,1B2,285.667,395.405,482.558,521.51,484.077,458.156,2.999409481,2.23790209,0.779294102,-0.571321829,-0.685562937
AR94401,Ijevsk,RUS49,Russie,gorod,56.85,53.21666667,E,1,0,1,1B2,285.3,422.4,548.7,635.1,632.14,628.116,3.63177138,2.949312346,1.473050231,-0.035928761,-0.079793471
AES01140,Tallinn,EST00,Estonie,gorod,59.43333333,24.75,O,1,1,0,1A2,281.714,362.706,429.727,482.037,398.434,399.34,2.323865283,1.901831345,1.155330492,-1.454541004,0.028395542
AR70234501,novmoskovsk,RUS72,Russie,gorod,54.03333333,38.26666667,O,0,0,0,,280.915,321.341,333.118,326.161,297.284,279.563,1.229779745,0.400733208,-0.210834003,-0.710565106,-0.765309494
AR33401,Kirov,RUS28,Russie,gorod,58.6,49.65,O,1,0,0,1B2,278.379,370.073,436.972,499.53,480.411,473.668,2.622122708,1.863470284,1.346976445,-0.29974731,-0.176535657
AR11401,Arkhanguelsk,RUS05,Russie,gorod,64.55,40.53333333,O,1,0,0,1B2,272.6,376.8,432.8,466.1,399.434,389.328,2.986537832,1.551481134,0.743998778,-1.180299614,-0.319817105
AR47401,Mourmansk,RUS41,Russie,gorod,68.96666667,33.08333333,O,1,0,0,1B2,271.14,370.436,455.095,560.912,418.642,382.344,2.877396029,2.313301176,2.112584093,-2.225236476,-1.127290577
AR32419,leninskkuzn,RUS25,Russie,gorod,54.65,86.16666667,E,0,0,0,3B1,270,277.983,282.768,319.7,253.259,234.389,0.265242071,0.189811166,1.235143115,-1.776128611,-0.963213001
AR53401,Orenbourg,RUS47,Russie,gorod,51.76666667,55.1,E,1,0,1,1B2,267.3,344.3,458.7,546.5,549.361,546.987,2.327972556,3.238936995,1.766805631,0.040173275,-0.054119706
AR28401,Tver,RUS74,Russie,gorod,56.86666667,35.9,O,1,0,0,1B2,261,345.1,411.5,450.9,408.903,403.726,2.571729281,1.974516153,0.918558746,-0.749237741,-0.15914241
AUA14104,Mikolaiv,UKR16,Ukraine,gorod,46.97,32,O,1,0,0,1B2,260.551,372.321,451.741,522.343,512.827,501.183,3.298297203,2.171605918,1.462749522,-0.141325055,-0.286687074
AR56401,Penza,RUS51,Russie,gorod,53.2,45.01666667,O,1,0,0,1B2,255.5,373.7,482.9,542.6,518.025,517.137,3.517081101,2.889357772,1.17244799,-0.35589516,-0.021443624
AR96401,groznyj,RUS167,Russie,gorod,43.31666667,45.7,O,0,0,1,1B2,251.75,341.3,375.3,399.7,210.72,271.596,2.805219447,1.060740271,0.631873547,-4.805205491,3.223172208
AR69401,Tomsk,RUS71,Russie,gorod,56.5,84.96666667,E,1,0,0,1B2,248.8,338.4,420.7,502,487.838,522.94,2.835635062,2.448283005,1.782501553,-0.219886634,0.872324659
ALI10116,Vilnius,LIT00,Lithuanie,gorod,54.68,25.32,O,1,1,0,1A2,242.853,385.15,499.28,606.831,565.3,571.706,4.281641123,2.925694824,1.969985819,-0.543856725,0.140960138
AUA05148,Torez,UKR06,Ukraine,gorod,48.04,38.59,O,0,0,0,3B2,242.183,236.847,239.529,249.772,205.72,180.031,-0.202333898,0.125190877,0.419618007,-1.481491452,-1.653485779
AKI02101,Bishkek,KIR00,Kirghizstan,gorod,42.87,74.6,E,1,1,0,1A2,239.428,452.328,569.912,650.578,835.978,872.848,5.953725162,2.600737147,1.332593279,1.947499661,0.540945573
ATA02101,Doushanbe,TAD00,Tadjikistan,gorod,38.56,68.77,E,1,1,1,1A2,237.35,405.397,533.874,658.174,739.231,796,4.987011187,3.106073649,2.115153644,0.89739781,0.929146079
AR53423,Orsk,RUS47,Russie,gorod,51.2,58.56666667,E,0,0,0,3B1,230.7,308.7,341.3,376.8,357.278,337.936,2.683107481,1.121710344,0.994438874,-0.408397261,-0.693306238
AR60440,shahty,RUS55,Russie,gorod,47.7,40.23333333,O,0,0,0,3B1,230.681,240.678,246.684,266.622,263.585,251.406,0.38641865,0.274244529,0.780265928,-0.088084478,-0.58958924
AUA12135,Stakhanov/Brianka,UKR14,Ukraine,gorod,48.56,38.65,O,0,0,0,3B1,226.845,253.314,239.626,244.209,195.887,173.417,1.008348653,-0.615326303,0.189629986,-1.681763476,-1.511421325
AR61401,Riazan,RUS56,Russie,gorod,54.61666667,39.71666667,O,1,0,0,1B2,224.3,367.5,471.1,533.3,540.71,543.44,4.590794227,2.79783624,1.247858908,0.106202302,0.062972496
AR15401,Briansk,RUS11,Russie,gorod,53.25,34.36666667,O,1,0,0,1B2,218.3,330.6,408.2,467.4,447.03,429.514,3.845165557,2.370414377,1.36349365,-0.342180268,-0.498395984
ALI02108,Kaunas,LIT00,Lithuanie,gorod,54.9,23.9,O,1,0,0,3A1,216.837,310.703,379.732,435.269,388.513,361.992,3.323972713,2.254235378,1.374343351,-0.87032434,-0.879914976
AMO01113,Chisinau,MOL00,Moldavie,gorod,47.01,28.86,O,1,1,0,1A2,216.005,356.382,479.604,727.123,663.671,700,4.657018842,3.354563193,4.24914982,-0.699921866,0.668404525
AR73401,Oulianovsk,RUS50,Russie,gorod,54.31666667,48.38333333,O,1,0,0,1B2,213.422,368.462,486.213,651.289,663.574,640.205,5.089520604,3.129174194,2.966207683,0.143848757,-0.447146557
AR65456,krasnotursk,RUS63,Russie,gorod,59.76666667,60.2,E,0,0,1,3B2,210,197.3,199.2,208.5,195.898,188.2,-0.565505127,0.106544853,0.457339581,-0.47842822,-0.499857639
AR42401,Lipetsk,RUS36,Russie,gorod,52.61666667,39.6,O,1,0,0,1B2,206.987,349.752,460.49,530.442,553.592,554.922,4.88433978,3.103492213,1.424232918,0.329135327,0.029999624
AUZ09104,Samarkand,OUZ00,Ouzbekistan,gorod,39.65,66.96,E,1,0,0,1B3,206.866,281.14,521.859,416.331,416.476,418.166,2.82817749,7.114394581,-2.233840084,0.002672975,0.050642616
AR27401,Kaliningrad,RUS20,Russie,gorod,54.71666667,20.5,O,1,0,0,1B2,206,300.6,360.7,409.2,440.916,443.924,3.49518844,2.045824893,1.269565883,0.575885319,0.085023568
AR38401,Koursk,RUS32,Russie,gorod,51.71666667,36.18333333,O,1,0,0,1B2,204.7,284.2,375.3,424.2,412.442,414.595,3.027962661,3.137634302,1.23232467,-0.215992955,0.065103061
AR60437,taganrog,RUS55,Russie,gorod,47.23333333,38.9,O,0,0,0,3A1,202.1,254.2,276.4,291.6,281.947,257.692,2.106969058,0.934648963,0.536774583,-0.258618007,-1.118127423
AUA01113,Simferopol,UKR01,Ukraine,gorod,44.96,34.11,O,1,0,0,1B3,199.037,264.41,320.758,367.27,366.449,360.337,2.615530874,2.169714565,1.363312777,-0.017219113,-0.210015286
AR68401,Tambov,RUS64,Russie,gorod,52.71666667,41.43333333,O,1,0,0,1B3,197.7,263.1,307.9,343.1,327.712,312.308,2.632074449,1.76247217,1.088348841,-0.352352975,-0.600008883
AR07427,Piatigorsk,RUS62,Russie,gorod,44.03333333,43.05,O,0,0,1,5A,192.67,302.811,357.065,401.154,424.975,450.491,4.19591346,1.848080478,1.171079623,0.444716327,0.731509496
AUA12116,Lisitchansk,UKR14,Ukraine,gorod,48.92,38.42,O,0,0,0,,183.949,278.724,309.953,343.124,307.666,287.54,3.850117935,1.186974042,1.021898328,-0.835534739,-0.842110223
AR36435,syzranj,RUS59,Russie,gorod,53.16666667,48.46666667,O,0,0,0,3A1,182.2,207.3,208.3,210.377,213.443,206.017,1.180201284,0.053484618,0.099267348,0.111359334,-0.441660902
AR78415,Rybinsk,RUS79,Russie,gorod,58.05,38.83333333,O,0,0,0,3A1,181.7,218.3,238.6,251.4,222.653,200.771,1.6822965,0.992877152,0.523935632,-0.929734,-1.284794517
AR08409,Komsomolsk-na-Amoure,RUS26,Russie,gorod,50.55,137,E,0,0,0,3A1,177.3,218.1,263.9,315.3,281.035,263.906,1.900659235,2.140549892,1.795471444,-0.881059947,-0.782996457
AR81401,Oulan-Oude,RUS10,Russie,gorod,51.83333333,107.6166667,E,1,0,0,1B3,175.2,253.6,304.29,367.695,375.417,404.357,3.419248358,2.045335765,1.910751564,0.160001851,0.932580975
AR76401,Tchita,RUS80,Russie,gorod,52.03333333,113.5,E,1,0,0,1B3,171.8,241.4,302.6,365.8,316.643,323.964,3.140339145,2.542409369,1.914851909,-1.103951843,0.286126591
AR34401,Kostroma,RUS30,Russie,gorod,57.76666667,40.93333333,O,1,0,0,1B3,171.7,223,254.7,278.4,278.75,268.617,2.405038304,1.487788008,0.893695287,0.009665039,-0.461789826
ATU02101,Ashgabat,TUR00,Turkmenistan,gorod,37.95,58.38,E,1,1,1,1A2,169.935,253.118,317.449,410.467,727.286,1034.543,3.688579963,2.548162156,2.603087208,4.498428172,4.503402478
ABE04104,Gomel,BEL00,Belarus,gorod,52.44,30.98,O,1,0,0,1B3,168.27,272.253,382.785,500.846,478.912,487.2,4.471277936,3.858601603,2.724711414,-0.343885243,0.214696435
AR90401,Vladikavkaz,RUS48,Russie,gorod,43.01666667,44.68333333,O,1,0,1,1B3,164.4,243.759,289.087,311.46,330.182,328.41,3.645584301,1.913042454,0.748217646,0.450033457,-0.067242255
AR75412,zlatoust,RUS66,Russie,gorod,55.16666667,59.66666667,E,0,0,1,3B1,161.3,180.5,197.8,207.8,194.551,174.985,1.027651646,1.022140097,0.494414811,-0.505500633,-1.316187534
AR66401,Smolensk,RUS61,Russie,gorod,54.78333333,32.05,O,1,0,0,1B3,160.023,230.62,299.247,341.5,325.137,326.863,3.378111996,2.936717534,1.329544472,-0.376987971,0.066203041
AR95401,Abakan,RUS34,Russie,gorod,53.71666667,91.41666667,E,1,0,0,1B4,159.275,204.457,270.476,322.231,325.748,323.053,2.296196926,3.158013961,1.766270378,0.083537925,-0.103792097
AUA21108,Kherson,UKR23,Ukraine,gorod,46.63,32.6,O,1,0,0,1B3,157.995,271.102,330.941,368.486,339.956,317.36,5.030931265,2.240792206,1.080420918,-0.617984973,-0.856047744
AKA16108,Semei/semipalatinsk,KAZ003,Kazakhstan,gorod,50.41,80.23,E,0,0,0,1B3,156.11,235.735,282.574,334.402,269.228,299.264,3.817871875,2.034102313,1.698293775,-1.65374469,1.330860477
AUZ03101,Fergana,OUZ00,Ouzbekistan,gorod,40.39,71.78,E,1,0,1,1B4,154.675,216.554,300.414,373.12,391.032,407.452,3.106491213,3.703851042,2.19104402,0.361347113,0.515481478
AUA24112,Tchernivtsi,UKR26,Ukraine,gorod,48.3,25.93,O,1,0,0,1B3,154.39,186.812,218.561,256.644,240.893,251.776,1.748019347,1.759323477,1.619217092,-0.486012222,0.553847044
AR17401,Vladimir,RUS75,Russie,gorod,56.13333333,40.41666667,O,1,0,0,1B3,153.9,237.937,304.85,366.343,327.572,345.598,4.040426483,2.79174682,1.854487954,-0.856786749,0.67185151
AKA13108,Shymkent,KAZ004,Kazakhstan,gorod,42.3,69.6,E,1,0,0,1B3,153.241,247.064,321.535,392.977,413.332,603.499,4.437791882,2.970589344,2.026711285,0.389210735,4.844882679
AR54401,Orel,RUS46,Russie,gorod,52.96666667,36.08333333,O,1,0,0,1B3,152.962,234.974,312.432,349.25,345.409,329.849,3.979751909,3.216321869,1.120239741,-0.085031336,-0.574521379
AUZ01101,Andidjan,OUZ00,Ouzbekistan,gorod,40.78,72.34,E,1,0,1,1B3,151.328,216.478,297.989,399.405,488.114,554.539,3.308453739,3.614543616,2.972516513,1.554829953,1.607642933
AR01405,bijsk,RUS02,Russie,gorod,52.51666667,85.16666667,E,0,0,0,3A1,150.909,190.487,216.527,239.183,231.172,210.055,2.139910461,1.433863718,1.000104937,-0.261710226,-1.190267364
AKA16106,Oskemen (oust-kamenogorsk,KAZ003,Kazakhstan,gorod,49.98,82.61,E,1,0,0,1B3,150.371,230.34,274.287,324.478,300.977,303.72,3.952955936,1.95915015,1.694625939,-0.576663362,0.113460695
AR71401,Tioumen,RUS70,Russie,gorod,57.15,65.53333333,E,1,0,0,1B3,150.2,268.5,359,481.914,516.059,581.758,5.42267516,3.28010821,2.988209894,0.527969064,1.509193192
ABE03104,Vitebsk,BEL00,Belarus,gorod,55.19,30.19,O,1,0,0,1B3,148.3,230.804,296.605,350.004,341.719,351.231,4.103141316,2.826227836,1.669211173,-0.184106213,0.34379359
AR82401,Makhatchkala,RUS13,Russie,gorod,42.98333333,47.48333333,O,1,0,1,1B3,148.265,234.7,312.475,386.985,584.307,758.892,4.263918001,3.231289932,2.161646927,3.220307989,3.321894483
AUA27103,Sevastopol,UKR02,Ukraine,gorod,44.6,33.53,O,1,0,0,7A,148.033,239.109,311.429,368.565,352.466,351.964,4.455345801,2.9796612,1.698724012,-0.34296725,-0.01782109
AR37401,Kourgan,RUS31,Russie,gorod,55.45,65.33333333,E,1,0,0,1B3,145.7,243.9,309.9,355.5,345.515,333.64,4.795133078,2.696736258,1.382221401,-0.218907675,-0.436214437
AR65480,pervouralsk,RUS63,Russie,gorod,56.91666667,59.95,E,0,0,1,3A1,145.3,175.7,192.1,208,194.944,186.445,1.742067536,0.996466149,0.798390372,-0.49741831,-0.555651122
AUA16113,Poltava,UKR18,Ukraine,gorod,49.58,34.57,O,1,0,0,1B3,143.097,219.873,278.931,314.74,316.63,300.501,3.982033569,2.678742775,1.215148275,0.046065845,-0.651406593
AR07401,Stavropol,RUS62,Russie,gorod,45.05,41.98333333,O,1,0,1,1B3,141,198.3,258.2,318.3,354.867,398.266,3.14874867,2.976246622,2.114646928,0.840037426,1.452663225
AR65436,kamenskural,RUS63,Russie,gorod,56.4,61.93333333,E,0,0,1,3A1,141,169.3,187.4,207.8,186.153,174.71,1.676742123,1.134982386,1.038664142,-0.842638672,-0.789882152
AR25405,angarsk,RUS17,Russie,gorod,52.56666667,103.9166667,E,0,0,0,3A1,140.075,209.006,244.079,270.649,251.176,233.765,3.705031877,1.738596032,1.038665417,-0.57272969,-0.893949688
AGE04108,Koustaisi,GEO00,Géorgie,gorod,42.26,42.72,O,1,0,0,3A1,139.778,177.509,211.955,256.15,202.806,209.6,2.196185712,1.99012949,1.911940119,-1.780220038,0.412738119
AR19401,Vologda,RUS77,Russie,gorod,59.21666667,39.9,O,1,0,0,1B3,139.1,177.8,236.5,282.8,293.046,301.642,2.256595578,3.220652172,1.803996185,0.274141693,0.362044936
AR86401,Petrozavodsk,RUS12,Russie,gorod,61.78333333,34.35,O,1,0,0,1B3,135.3,184.5,234.1,269.5,266.16,263.54,2.859716952,2.680848607,1.418162003,-0.095882916,-0.123579485
AUA11105,Kirovograd,UKR13,Ukraine,gorod,48.5,32.26,O,1,0,0,1B3,134.33,188.795,236.652,269.803,252.936,236.097,3.142570865,2.542095415,1.319645016,-0.495340652,-0.857490232
AR29401,Kalouga,RUS22,Russie,gorod,54.51666667,36.26666667,O,1,0,0,1B3,134.2,210.9,265,311.4,334.751,325.185,4.1951831,2.569635097,1.626571283,0.557770645,-0.3617531
AUA12113,Krasnii Loutch,UKR14,Ukraine,gorod,48.13,38.93,O,0,0,0,3B1,132.232,134.754,133.179,139.268,114.442,102.276,0.171901566,-0.130545892,0.44806127,-1.498910594,-1.395072159
AKA15103,Petropavlovsk,KAZ001,Kazakhstan,gorod,54.88,69.16,E,1,0,0,1B3,131.453,172.911,206.559,241.36,196.725,201.446,2.523381048,1.995301636,1.56922004,-1.560629331,0.296856704
AR03426,Sotchi,RUS33,Russie,gorod,43.6,39.71666667,O,0,0,0,5A,131.016,224,287.4,336.5,328.809,343.285,4.99651399,2.807909262,1.589735707,-0.177696655,0.540002421
AUA12102,Altchevsk / kommunarsk,UKR14,Ukraine,gorod,48.47,38.8,O,0,0,0,3B1,129.946,156.026,152.76,157.491,148.033,140.287,1.676661537,-0.234775056,0.30546812,-0.475279769,-0.669552487
AR75442,miass,RUS66,Russie,gorod,55,60.1,E,0,0,1,3A1,129.9,168.8,196,217.9,205.564,195.217,2.409941341,1.673855426,1.064845377,-0.447295265,-0.643491427
AUZ05104,Namangan,OUZ00,Ouzbekistan,gorod,41,71.67,E,1,0,1,2A,123.467,175.267,257.046,414.1,522.579,603.126,3.236138278,4.346759448,4.884047383,1.805872343,1.8080231
AR60427,novcherkask,RUS55,Russie,gorod,47.43333333,40.08333333,O,0,0,0,6A,123.139,172.668,196.717,201.173,184.47,169.039,3.120956001,1.459385118,0.224241914,-0.664538922,-1.086027067
AR25445,cheremhovo,RUS17,Russie,gorod,53.15,103.0666667,E,0,0,0,3B1,122.8,98.7,76.7,73.6,60.107,52.65,-1.96651649,-2.763143062,-0.411716939,-1.545764792,-1.642118647
AUA02103,Vinnitsya,UKR03,Ukraine,gorod,49.23,28.48,O,1,0,0,1B3,121.854,211.572,314.446,374.304,357.302,369.214,5.143756967,4.501103357,1.757830552,-0.356944007,0.410764517
ABE06110,Mogileu,BEL00,Belarus,gorod,53.91,30.34,O,1,0,0,1B3,121.712,202.314,290.361,359.188,361.635,359.596,4.728035721,4.096159056,2.149995905,0.052248574,-0.070663397
AR36440,toljatti,RUS59,Russie,gorod,53.51666667,49.41666667,O,0,0,0,3A1,121.106,309.002,554.137,685.424,763.714,775.074,8.888351003,6.704806924,2.14902267,0.835437763,0.184734614
AR60430,novoshahtsk,RUS55,Russie,gorod,47.76666667,39.91666667,O,0,0,0,3B1,118.009,117.242,119.12,121.842,116.017,111.087,-0.059261688,0.176725016,0.226192781,-0.376124652,-0.541317742
