455000,Phoenix,-112.0763,33.52837,,,,,,,,,,,,5544,11134,29053,48118,65414,186193,331770,663510,967522,1509052,2122101,3251876,4192887
457380,Prescott,-112.461482,34.56821,,,,,,,,,,,,,5092,5010,5517,6018,6018,6764,12861,13631,19865,27126,167517,211033
462000,Safford,-109.714613,32.823266,,,,,,,,,,,,,,,,,,,,,,,42036,37220
466470,Show Low,-110.048173,34.243595,,,,,,,,,,,,,,,,,,,,,,,,107449
466820,Sierra Vista,-110.2765,31.545498,,,,,,,,,,,,,,,,,,,55039,61910,85686,97624,117755,131346
477000,Tucson,-110.918192,32.214476,,,,,,,,,,7007,5150,7531,13193,20292,32506,35752,35752,45454,265660,351667,531443,666880,843746,980263
485540,Yuma,-114.615389,32.692148,,,,,,,,,,,,,,,,5325,,,23974,29007,42481,106895,160026,195751
501870,Arkadelphia,-93.066178,34.12192,,,,,,,,,,,,,,,,5078,,,,,23326,21437,23546,22995
504030,Batesville,-91.641338,35.773488,,,,,,,,,,,,,,,,5267,,,,,,,34233,36647
505290,Benton,-92.577025,34.570773,,,,,,,,,,,,,,,,,,,10399,,,,,
507330,Blytheville,-89.91394,35.930735,,,,,,,,,,,,,,6447,10098,10652,80217,82375,70174,62060,59517,57525,51979,46480
510720,Camden,-92.834924,33.570941,,,,,,,,,,,,,,,7273,8975,8975,33051,31641,30896,30541,30574,34534,31488
515190,Conway,-92.453315,35.087336,,,,,,,,,,,,,,,5534,5782,5782,8610,9791,15510,20375,,,
521070,El Dorado,-92.662553,33.213521,,,,,,,,,,,,,,,16421,15858,50461,49686,49518,45428,48573,46719,45629,41639
522240,Eureka Springs,-93.73845,36.403068,,,,,,,,,,,,,,,,1170,,,,,,,,
523290,Fayetteville,-94.160912,36.076379,,,,,,,,,,,,,,5362,7394,8212,8212,17071,30350,58562,178609,210908,347045,463204
524430,Forrest City,-90.788716,35.010131,,,,,,,,,,,,,,,,5699,,,33303,30799,30858,28497,29329,28258
524550,Fort Smith,-94.398737,35.368691,,,,,,,,,,,11311,11587,23975,34094,36611,42006,42006,54355,66685,160421,203511,219181,273170,280467
530460,Harrison,-93.113703,36.237247,,,,,,,,,,,,,,,,,,,,,,28297,42556,45233
531180,Helena,-90.601377,34.526223,,,,,,,,,,,5189,5550,8772,15338,12805,13263,13263,17343,19885,40046,34772,28838,26445,21757
533190,Hope,-93.589908,33.667779,,,,,,,,,,,,,,,6008,7475,7475,8605,8399,8810,23635,21621,33542,
533400,Hot Springs,-93.055393,34.497138,,,,,,,,,,,8086,9973,14434,11695,20238,21370,21370,29307,28337,35631,45944,41718,88068,96024
535710,Jonesboro,-90.694048,35.828067,,,,,,,,,,,,,7123,9384,10326,11729,11729,16310,21418,27050,31530,47008,107762,121026
541000,Little Rock,-92.331122,34.736009,,,,,,,,3727,12380,13138,25874,38307,45941,79190,101097,109176,156085,196685,242980,323296,393774,513117,610518,699757
543460,Magnolia,-93.233477,33.274052,,,,,,,,,,,,,,,,,,,26400,25952,26644,25691,25603,24552
543610,Malvern,-92.810971,34.363818,,,,,,,,,,,,,,,5115,5290,5290,8072,9566,8739,,,,32923
544120,Marianna,-90.765097,34.773969,,,,,,,,,,,,,,5074,4314,4449,,,,,,,,
547390,Mountain Home,-92.382279,36.336248,,,,,,,,,,,,,,,,,,,,,,,38386,41513
550450,North Little Rock,-92.256881,34.780791,,,,,,,,,,,,,11138,,,,,,,,,,,
553390,Paragould,-90.502938,36.057075,,,,,,,,,,,,,5248,6306,5966,7079,7079,9668,9947,24765,30744,31804,37331,42090
555310,Pine Bluff,-92.023114,34.216648,,,,,,,,,,,9952,11496,15102,19280,20760,21290,21290,37162,44037,85329,90718,85487,107341,100258
561670,Russellville,-93.13682,35.278429,,,,,,,,,,,,,,,5628,5927,5927,8166,8921,28607,39021,45883,75608,83939
563020,Searcy,-91.733706,35.247043,,,,,,,,,,,,,,,,,,,,,50835,54676,67165,77076
567490,Stuttgart,-91.550917,34.497043,,,,,,,,,,,,,,,,5628,,,,10477,10491,10479,9745,
574540,West Memphis,-90.178831,35.150294,,,,,,,,,,,,,,,,,,,19374,,,,,
600884,Alhambra,-118.135052,34.081859,,,,,,,,,,,,,5021,,,,,,,,,,,
602000,Anaheim,-117.889769,33.836165,,,,,,,,,,,,,,5526,,,,,,,,,,
603526,Bakersfield,-119.031661,35.357276,,,,,,,,,,,,,12727,18638,26015,29252,29252,34784,291984,329162,403089,543477,661645,839631
606000,Berkeley,-122.274603,37.871775,,,,,,,,,,,5101,13214,40434,,,,,,,,,,,
606798,Bishop,-118.394896,37.365087,,,,,,,,,,,,,,,,,,,,,,,17945,
608058,Brawley,-115.536275,32.977034,,,,,,,,,,,,,,5389,10439,11718,11718,11922,12703,13747,,,,
609710,Calexico,-115.497997,32.678246,,,,,,,,,,,,,,6223,6299,,,,,,,,,
613014,Chico,-121.83546,39.739983,,,,,,,,,,,,,,9339,7961,9287,9287,12272,14757,19580,143851,182120,203171,220000
613945,Clearlake,-122.63112,38.952773,,,,,,,,,,,,,,,,,,,,,,50631,58309,64665
614274,Coalinga,-120.358301,36.140734,,,,,,,,,,,,,,,,5026,,,,,,,,
616350,Corona,-117.567783,33.869998,,,,,,,,,,,,,,,7018,8764,8764,,,,,,,
617022,Crescent City,-124.201206,41.754821,,,,,,,,,,,,,,,,,,,,,,,27507,28610
621782,El Centro,-115.557966,32.788139,,,,,,,,,,,,,,5464,8434,15432,15432,19023,24803,29897,53354,71259,142361,174528
623042,Eureka,-124.162752,40.790022,,,,,,,,,,,,7327,11845,12923,15752,17055,45812,69241,104892,99692,108514,119118,126518,134623
627000,Fresno,-119.792113,36.781549,,,,,,,,,,,10818,12470,24892,45086,52513,60685,178565,276515,365945,413053,514621,667490,799407,930450
628168,Gardena,-118.307841,33.893615,,,,,,,,,,,,,,6331,,,,,,,,,,
630798,Grass Valley,-121.058414,39.219215,,,,,,,,,,,,,,,,5701,,,,,,,,
631960,Hanford,-119.646889,36.333273,,,,,,,,,,,,,,5888,7028,8234,8234,10028,10133,15179,20958,58409,129461,152982
634120,Hollister,-121.398308,36.847108,,,,,,,,,,,,,,,,,,,,,11488,20337,,
642202,Lodi,-121.280926,38.128751,,,,,,,,,,,,,,,6788,11079,,,,,,,,
643000,Long Beach,-118.158028,33.804133,,,,,,,,,,,,,17809,,,,,,,,,,,
644000,Los Angeles,-118.375984,34.086159,,,,,,,,4385,5728,11183,50395,102479,349489,739880,1844670,2305625,2785643,4151687,6038771,7032075,7477503,11273720,12365627,12828837
645022,Madera,-120.067316,36.963411,,,,,,,,,,,,,,,,6457,,10497,14430,16044,21732,29428,123109,150865
646114,Martinez,-122.120081,38.000588,,,,,,,,,,,,,,,6569,7381,,,,,,,,
646170,Marysville,-121.585544,39.149343,,,,,,,,,4738,4321,3991,3497,5430,5461,5763,6646,6646,7826,,,,,,
646898,Merced,-120.477916,37.305977,,,,,,,,,,,,,,,7066,10135,10135,15278,20068,22670,36423,178403,210554,255793
648354,Modesto,-120.994543,37.661479,,,,,,,,,,,,,,9241,13842,16379,16379,17389,36585,194506,265900,370522,446997,514453
648648,Monrovia,-118.001848,34.144156,,,,,,,,,,,,,,5480,,,,,,,,,,
648872,Monterey,-121.890605,36.60001,,,,,,,,,,,,,,5479,14699,16333,16333,25828,54092,250071,290444,355660,401762,
650258,Napa,-122.298885,38.304764,,,,,,,,,,,,,5791,6757,6437,7740,7740,13579,22170,79140,99199,110765,124279,136484
650874,Nevada City,-121.018602,39.261435,,,,,,,,,,4022,2524,3250,2689,1782,1701,2445,2445,2505,2353,2314,2431,2855,,
653000,Oakland,-122.228111,37.795227,,,,,,,,,10500,40263,59847,83424,173557,323649,456185,,,,,,,,,
653896,Ontario,-117.627861,34.052811,,,,,,,,,,,,,,7280,13583,20513,,,,,,,,
654652,Oxnard,-119.182497,34.191292,,,,,,,,,,,,,,,17888,21783,21783,38101,82658,376430,529174,669016,753197,823318
655282,Palo Alto,-122.138162,37.429289,,,,,,,,,,,,,,5900,13652,16774,,,,,,,,
656000,Pasadena,-118.131808,34.156098,,,,,,,,,,,,9117,,,,,,,,,,,,
656784,Petaluma,-122.631276,38.245849,,,,,,,,,,,,,5880,6226,8245,8034,8034,10315,14035,,,,,
656871,Phoenix Lake-Cedar Ridge,-120.297883,38.019488,,,,,,,,,,,,,,,,,,,,,,,54501,
657456,Pittsburg,-121.892491,38.015021,,,,,,,,,,,,,,,9610,14626,,,,,,,,
658072,Pomona,-117.755886,34.06076,,,,,,,,,,,,5526,10207,13505,20804,23539,,,,,,,,
658240,Porterville,-119.027536,36.06855,,,,,,,,,,,,,,,5303,6270,6270,6904,7991,12602,,,,
659892,Red Bluff,-122.237951,40.17664,,,,,,,,,,,,,,,,3824,,,,,,49625,56039,63463
659920,Redding,-122.370325,40.576606,,,,,,,,,,,,,,,,8109,,10256,12773,16659,115715,147036,163256,177223
659962,Redlands,-117.171449,34.056563,,,,,,,,,,,,,10449,9571,14177,,,,,,,,,
660620,Richmond,-122.342057,37.936874,,,,,,,,,,,,,6802,,,,,,,,,,,
662000,Riverside,-117.396127,33.948065,,,,,,,,,,,,7973,15212,19341,29696,34696,34696,74998,,,,,,
662938,Roseville,-121.289338,38.752434,,,,,,,,,,,,,,,6425,6653,6653,8723,13421,,,,,
664000,Sacramento,-121.468926,38.555605,,,,,,,6820,13785,16283,21420,26386,29282,44696,65908,93750,105958,170333,277140,502778,800592,1014002,1481102,1796857,2149127
664224,Salinas,-121.643128,36.683859,,,,,,,,,,,,,,,10263,11586,11586,13917,28957,,,,,415057
665000,San Bernardino,-117.29315,34.12951,,,,,,,,,,,,6150,12779,18721,45495,67656,161108,281642,809782,1143146,1558182,2588793,3254821,4224851
666000,San Diego,-117.146344,32.779541,,,,,,,,,,,16159,17700,39578,74683,160721,225755,289348,556808,1033011,1357854,1861846,2498016,2813833,3095313
666140,San Fernando,-118.438836,34.287251,,,,,,,,,,,,,,,7567,,,,,,,,,
667000,San Francisco,-122.437392,37.759881,,,,,,,34776,56802,149473,233959,298997,342782,416912,506676,684101,1201546,1412686,2135934,2648762,3109519,3250630,3686592,4123740,4335391
668000,San Jose,-121.872734,37.304051,,,,,,,,4579,9089,12567,18060,21500,28946,44862,63953,75107,174949,290547,642315,1064714,1295071,1497577,1735819,1836911
668154,San Luis Obispo,-120.663192,35.274305,,,,,,,,,,,,,5157,5895,8276,8881,8881,14180,20437,28036,72707,125167,246681,269637
668252,San Mateo,-122.313044,37.554286,,,,,,,,,,,,,,5979,,,,,,,,,,
668364,San Rafael,-122.523694,37.983256,,,,,,,,,,,,,5934,5512,8022,14363,,,,,,,,
669000,Santa Ana,-117.881408,33.740717,,,,,,,,,,,,,8429,15485,60243,61295,61295,96194,703925,1420386,1932709,,,
669070,Santa Barbara,-119.714189,34.425804,,,,,,,,,,,5864,6587,11659,19441,33613,34958,34958,44854,168962,264324,298694,369608,399347,423895
669112,Santa Cruz,-122.026252,36.97205,,,,,,,,,,,5596,5659,11146,10917,14395,16896,16896,21970,25596,32076,188141,229734,255602,262382
669196,Santa Maria,-120.433373,34.951377,,,,,,,,,,,,,,,7057,8522,8522,10440,,,,,,
670000,Santa Monica,-118.481336,34.022059,,,,,,,,,,,,,7847,,,,,,,,,,,
670042,Santa Paula,-119.068425,34.355792,,,,,,,,,,,,,,,7452,8986,8986,11049,,,,,,
670098,Santa Rosa,-122.704646,38.448611,,,,,,,,,,,5220,6673,7817,8758,10636,12605,12605,17902,31027,204885,299681,388222,458614,483878
672674,Sonora,-120.381767,37.984361,,,,,,,,,,,,,,,,,,,,,,,,55365
673108,South Lake Tahoe,-119.984347,38.929237,,,,,,,,,,,,,,,,,,,,12921,20681,,,
675000,Stockton,-121.300868,37.975623,,,,,,,,3679,10066,10282,14424,17506,23253,40296,47963,54714,134207,200750,249989,290208,347342,480628,563598,685306
677364,Susanville,-120.646014,40.417092,,,,,,,,,,,,,,,,,,,,,,11857,13541,34895
680588,Truckee,-120.203568,39.342163,,,,,,,,,,,,,,,,,,,,,,,92033,98764
680644,Tulare,-119.342404,36.206601,,,,,,,,,,,,,,,6207,8259,8259,12445,,,,,,
681134,Ukiah,-123.208612,39.148761,,,,,,,,,,,,,,,,,,,,51101,66738,80345,86265,87841
681666,Vallejo,-122.235882,38.112969,,,,,,,,,,5987,6343,7965,11340,21107,16072,20072,49118,104833,134597,169941,235203,340421,394542,413344
682954,Visalia,-119.307347,36.3241,,,,,,,,,,,,,,5753,7263,8904,8904,11749,29615,43503,245738,311921,368021,442179
683668,Watsonville,-121.763725,36.920054,,,,,,,,,,,,,,5013,8344,8937,8937,11572,13293,14569,,,,
685292,Whittier,-118.024495,33.965662,,,,,,,,,,,,,,7997,14822,16115,,,,,,,,
686328,Woodland,-121.772498,38.674054,,,,,,,,,,,,,,,5542,6637,6637,9386,13524,,,,,
686972,Yuba City,-121.626201,39.134792,,,,,,,,,,,,,,,,,,,21060,23339,101979,122643,139149,166892
801090,Alamosa,-105.873686,37.468835,,,,,,,,,,,,,,,5107,5613,,,,,,,,
803620,Aspen,-106.82447,39.192297,,,,,,,,,,,5108,3303,1834,1265,705,777,,,,,,,,
807850,Boulder,-105.259502,40.019425,,,,,,,,,,,,6150,9539,11006,11223,12958,12958,19999,74254,131889,189625,225339,291288,294567
808400,Breckenridge,-106.043516,39.486445,,,,,,,,,,,,,,,,,,,,,,,,27994
811810,Canon City,-105.228305,38.4468,,,,,,,,,,,,,5162,4551,5938,6690,6690,6345,8973,9206,28676,32273,46145,46824
816000,Colorado Springs,-104.791914,38.863443,,,,,,,,,,4226,11140,21085,29078,30105,33237,36789,36789,45472,143742,235972,317458,409482,537484,645613
817760,Craig,-107.550389,40.516896,,,,,,,,,,,,,,,,,,,,,,,,13795
818530,Cripple Creek,-105.179283,38.747294,,,,,,,,,,,,10147,6206,2325,1427,2358,2358,853,614,425,,,,
