ID,Name,Long,Lat,1964,1982,1990,2000
2074421002,Jingzhou,112.239741,30.335165,116969,361877,372216,909698
2095410502,Anyang,114.392756,36.097593,192098,360068,522428,768992
2065370802,Jining,116.587099,35.414921,111206,352509,559683,1050522
2082430211,Zhuzhou,113.133775,27.827827,190740,343996,507459,837102
2079410411,Pingdingshan,113.192814,33.76619,103839,342205,571731,871274
2027350205,Xiamen,118.08942,24.479836,233841,342139,491934,1982449
2166230505,Shuangyashan,131.159553,46.646923,198161,340279,476277,487294
2085440803,Zhanjiang,110.359387,21.270702,157662,339949,705844,832273
2099341202,Fuyang,115.814205,32.890124,88574,339687,495594,742862
2182511112,Leshan,103.765568,29.552106,179554,338806,426038,459507
2043442001,Zhongshan,113.392795,22.516686,77189,333252,1237432,1434251
2126320611,Nantong,120.894332,31.980184,136159,327589,444969,611736
2096450311,Guilin,110.290195,25.273566,155118,325491,488153,764424
2102420502,Yichang,111.286471,30.691967,111671,325039,460734,712738
2107321111,Zhenjiang,119.45722,32.199147,174442,321802,495277,695663
3230152104,Yakeshi,120.711741,49.285901,196620,320420,377378,386434
2168411502,Xinyang,114.091289,32.147015,100344,315267,374262,485996
2179220403,Liaoyuan,125.143532,42.887918,238096,315092,392088,462233
2100340603,Huaibei,116.798265,33.955845,201292,314443,484990,741195
2159140411,Changzhi,113.116255,36.195386,98230,313158,484709,499095
2101130303,Qinhuangdao,119.600492,39.935377,163930,312464,468587,718229
2152440204,Shaoguan,113.597522,24.810403,99685,308329,421526,535979
2181220503,Tonghua,125.939697,41.728401,168734,307648,382643,460148
2162220382,Siping,124.350398,43.16642,190792,292729,407186,492841
2031340504,Suzhou,120.585316,31.298886,451495,289872,257705,1806874
2139340504,Maanshan,118.50676,31.670452,135219,289872,302675,567576
2078420602,Xiangfan,112.122415,32.008986,88768,289146,505405,871388
2190330903,Zhoushan,122.206604,29.985451,205824,287323,364541,448787
2055370602,Yantai,121.447926,37.463819,157141,284024,452944,1294598
2220610203,Tongchuan,108.945233,34.896756,143221,282522,354199,404257
2103321011,Yangzhou,119.412966,32.39421,160309,282087,419871,711993
2151130503,Xingtai,114.504844,37.070589,86866,282071,363134,536282
2125320704,Lianyungang,119.221282,34.596544,171596,280176,472278,624022
3344230781,Tieli,128.032422,46.98664,156720,277896,219393,277640
2040371311,Linyi,118.356448,35.104672,64665,277698,903488,1483941
3274440782,Xinhui,113.034187,22.4583,90022,277321,188999,340214
2130610302,Baoji,107.237974,34.36198,145752,276084,405816,600377
2305231202,Suihua,126.980006,46.636631,112049,274245,278171,313253
2167371202,Laiwu,117.676731,36.213691,251200,273618,320698,486737
2070370902,Taian,117.087614,36.200252,75120,273023,735169,937761
2086610403,Xianyang,108.709003,34.329563,96425,267116,540037,823213
2146360403,Jiujiang,116.001951,29.705103,105409,266950,379689,551329
2135340802,Anqing,117.056857,30.524895,126263,264245,397540,582751
2072430603,Yueyang,113.128958,29.357104,75553,262840,529843,912993
2090370503,Dongying,118.674767,37.434751,130164,262576,474732,788844
2198130804,Chengde,117.962411,40.954071,100009,259129,334285,437251
2094150403,Chifeng,118.886856,42.257817,121746,258900,345035,769645
2193360203,Jingdezhen,117.17842,29.268836,175346,258041,340737,444720
2137640103,Yinchuan,106.230909,38.487194,121029,254819,436264,578362
2221610602,Yanan,109.489727,36.585455,152359,253353,341802,403868
2109520302,Zunyi,106.927389,27.725654,42864,251342,278821,691694
3306210882,Dashiqiao,122.509131,40.644622,63079,243124,251313,313250
3292230181,Acheng,126.958098,45.54867,87807,237629,208757,323973
3361230183,Shangzhi,127.960688,45.210945,102698,234868,237267,267942
3138441581,Lufeng,115.65226,22.917576,116204,234709,274727,569299
2183430502,Shaoyang,111.467791,27.238893,98209,233564,393066,459089
3338231083,Hailin,129.380486,44.594136,129927,232489,236573,282714
2147360313,Pingxiang,113.854676,27.622865,147245,230456,313668,546851
3156429004,Xiantao,113.454593,30.362641,62283,229658,202984,518807
2161510504,Luzhou,105.442347,28.87182,161595,227855,338034,495223
2208330702,Jinhua,119.647445,29.079059,72386,226741,305448,424859
2206150304,Wuhai,106.794205,39.655024,85818,224655,302761,427553
2283350702,Nanping,118.177708,26.641769,100077,222441,273323,331631
3366230184,Wuchang,126.233,45.8333,98142,219754,200237,262584
2195130903,Cangzhou,116.838835,38.304477,70942,218170,294138,443561
2303640203,Shizuishan,106.383047,38.984346,63655,213872,278705,314296
2127371002,Weihai,122.12042,37.513068,201471,212518,262790,609219
2188330411,Jiaxing,120.758543,30.753924,126280,211063,231481,451443
3464220281,Jiaohe,89.066056,42.953244,115164,209378,176367,207818
3427321084,Gaoyou,119.459165,32.781665,57117,208396,227333,225160
2235450403,Wuzhou,111.27917,23.47691,125128,206949,298915,381043
2222320811,Huaiyin,119.015288,33.61036,117880,206665,342960,401407
3310532501,Gejiu,103.160034,23.359121,139158,204627,213192,309486
2295220802,Baicheng,122.839024,45.619641,108452,202745,282281,323009
3377220283,Shulan,126.965922,44.406254,85492,201626,193202,257126
3163440583,Chenghai,116.756092,23.46596,76858,201330,249273,492076
3244429005,Qianjiang,112.900079,30.40211,27372,201275,252810,372811
2287360702,Ganzhou,114.935025,25.831925,130120,200317,223950,328309
3171500381,Jiangjin,106.25927,29.29018,108889,199272,310930,479917
2098460102,Haikou,110.328859,20.030793,123312,198395,374542,757640
3207429006,Tianmen,113.16653,30.663372,75539,197698,202694,425090
3333222403,Dunhua,128.232013,43.372413,134554,197123,231593,286554
2189410603,Hebi,114.297273,35.747225,82912,195839,302315,450741
2062350505,Quanzhou,118.586812,24.907574,106144,195679,366635,1089507
3218320586,Wuxian,103.598291,30.499976,85818,193875,415545,405542
2231511702,Dazhou,107.468023,31.209572,40581,191008,251363,384525
2205511502,Yibin,104.643382,28.751812,132559,190904,295264,427706
3414330481,Haining,120.680748,30.510664,59635,189138,179104,231629
2080510704,Mianyang,104.679114,31.46745,82876,187831,505985,865807
2150440703,Jiangmen,113.081901,22.578738,101640,185786,220895,536317
2228211202,Tieling,123.726163,42.22297,106251,182512,296159,387634
2132520201,Liupanshui,104.830359,26.592666,28867,182430,265643,592488
3216370983,Feicheng,116.768358,36.182571,36066,182010,183241,407676
3289220581,Meihekou,125.683832,42.530341,92680,180615,208218,327125
3617231283,Hailun,126.973143,47.461971,71574,178659,125328,144242
2068450902,Yulin,109.734556,38.285342,58433,177993,161990,987912
3474211382,Lingyuan,119.401574,41.245445,38340,177001,193429,201030
3180500382,Hechuan,106.276085,29.972052,97984,175664,165776,461985
2229510811,Guangyuan,105.843357,32.435435,83370,174115,174115,386846
2144371400,Dezhou,116.357465,37.434093,88697,173902,186218,552445
3322330682,Shangyu,120.868122,30.033121,42010,173174,240038,297118
3347331021,Yuhuan,121.231805,28.13593,19095,172729,186879,276488
3038440682,Nanhai,113.143313,23.028904,93290,172557,210233,1533141
3313220381,Gongzhuling,124.82283,43.504687,120424,172032,179425,305382
3403220282,Huadian,126.74631,42.972097,70358,171991,177856,238655
3250510781,Jiangyou,104.745731,31.777979,61654,171399,169666,366716
2149441702,Yangjiang,111.982232,21.857958,95917,170963,211060,538069
2291140702,Jinzhong,112.752695,37.687024,70805,170503,194805,324878
3337320585,Taicang,121.13055,31.457735,36094,169730,174437,284415
3157370883,Zoucheng,117.003743,35.405185,13144,167213,224375,518486
2360650205,Kelamayi,84.889207,45.579889,71198,167010,208238,270232
2243411002,Xuchang,113.85264,34.035506,91532,166886,295926,373387
2307610702,Hanzhong,107.023323,33.06748,67801,166653,247716,312225
2314,Jincheng,112.851768,35.49087,40922,165567,259925,304221
2204420902,Xiaogan,113.916903,30.924568,58210,165430,240477,427881
3362330183,Fuyang,115.814205,32.890124,88574,165087,202715,267427
2270340702,Tongling,117.810841,30.94453,75742,164493,265342,345222
2176350602,Zhangzhou,117.647481,24.512949,109496,163643,227655,468714
2296350403,Sanming,117.638678,26.263407,53262,163445,238267,322481
3442220182,Yushu,126.533,44.8,44894,162128,143866,219514
3378654101,Yining,81.329324,43.912945,91825,161344,181819,256588
2247360502,Xinyu,114.91741,27.817819,44555,161138,166488,369361
2437610902,Ankang,109.029022,32.684715,49584,159305,203825,221409
3323330683,Shengzhou,120.821587,29.588497,31954,158863,250118,296761
2217350802,Longyan,117.017705,25.075129,47139,157816,328425,407459
3467220621,Fusong,127.280736,42.341935,77640,157358,208400,205577
3456440281,Lechang,113.347519,25.130136,45866,157174,138256,210108
2059331004,Taizhou,121.420757,28.656386,94698,156104,266804,1200809
2277341402,Chaohu,117.864722,31.597853,48482,155963,121845,335830
2253510603,Deyang,104.398021,31.126856,78085,155699,251363,365172
3391330483,Tongxiang,120.565102,30.63007,45965,153710,203778,249692
3532230382,Mishan,131.877823,45.546466,92346,153345,163028,174453
3174370982,Xintai,117.767953,35.909032,17796,153179,214177,471084
2006440308,Shenzhen,114.057868,22.543099,37887,151921,975512,7008831
3336130982,Renqiu,116.099562,38.711812,6098,151572,216270,285132
2032511302,Nanchong,106.110698,30.837793,114108,151284,533799,1771920
2122371102,Rizhao,119.526888,35.416377,135960,150787,248388,631562
2184411403,Shangqiu,115.65637,34.414172,68240,150596,164475,457625
2376232703,Daxinganlingdiqu,126.6363366,45.8149575,40359,150383,150698,257150
3278421083,Honghu,113.466434,29.805489,53899,149993,210848,335618
2256445102,Chaozhou,116.622597,23.656972,96189,149986,216872,363582
2084430902,Yiyang,112.35518,28.55386,87642,149201,183395,833353
3473220881,Taonan,122.786735,45.335961,69471,148547,135113,201042
3257222401,Yanji,129.513914,42.906959,81550,148155,234809,362905
2242421102,Huanggang,114.872316,30.453906,29120,146459,192845,373568
3227420881,Zhongxiang,112.588121,31.16782,49430,143440,125779,391102
2259520402,Anshun,105.947594,26.253072,75034,142815,185523,360558
3382152101,Hailaer,119.736406,49.2122,87222,142125,180217,253576
2118440902,Maoming,110.925456,21.662999,38089,140951,532715,644301
2331411202,Sanmenxia,111.20023,34.772424,45816,140408,198569,288746
3319370785,Gaomi,119.755597,36.382595,46646,139838,137020,298610
2369441802,Qingyuan,113.056031,23.681764,62848,139078,137840,261597
2186431003,Chenzhou,113.014718,25.77051,91752,139017,169707,456529
2187431003,Chenzhou,113.014718,25.77051,91752,139017,169707,456529
2203510902,Suining,105.592898,30.532847,73371,138999,139894,428262
3502350481,Yongan,117.365053,25.941937,53209,138893,135152,190456
3401152601,Jining,116.587099,35.414921,86547,138454,161287,240592
3418350981,Fuan,119.64777,27.088049,50485,138038,105265,228294
2197441202,Zhaoqing,112.465091,23.047192,62624,136857,292871,438157
3364330784,Yongkang,120.047394,28.888782,127080,136711,142722,265423
3500532502,Kaiyuan,103.233,23.7,86685,136629,160083,190692
2155371702,Heze,115.480656,35.23375,41923,136439,216381,525234
3272440783,Kaiping,112.698534,22.376484,46860,136202,182201,343233
3454220882,Daan,121.614682,38.914003,56422,135732,129377,212781
2248141000,Linfen,111.51888,36.088067,47371,135153,185775,368399
2145420702,Ezhou,114.894843,30.39194,41175,134838,144391,551876
3330370281,Jiaozhou,120.033345,36.264664,38562,133843,162603,289436
3381430481,Leiyang,120.711607,36.97891,55989,133690,133142,254217
3553330182,Jiande,119.281212,29.474765,48268,130490,122214,166717
2264360803,Jian,114.992912,27.113039,77543,130481,141702,350738
2169450803,Guigang,109.598927,23.111531,55762,129202,143986,481334
3352622301,Wuwei,102.638009,37.928336,60724,128304,131442,273047
3302370882,Yanzhou,116.783834,35.553144,42013,128206,131929,315156
3301440883,Wuchuan,110.77821,21.441863,38662,126075,126198,317602
2172371502,Liaocheng,115.985371,36.456704,46013,125542,158881,475546
3438231181,Beian,126.481867,48.239136,125431,125431,242857,221381
3060440681,Shunde,113.293359,22.80524,125404,125404,626480,1175386
2237620502,Tianshui,105.724947,34.580862,60789,123809,240568,377370
3406350982,Fuding,120.216978,27.324479,39514,123410,82917,235806
3285370682,Laiyang,120.711607,36.97891,25248,123151,150437,330269
3340370781,Qingzhou,118.479622,36.684528,41581,122927,103833,280492
3345441881,Yingde,113.415045,24.186062,63176,122809,133925,277261
3246440881,Lianjiang,119.539719,26.197368,42161,122732,156383,369365
2224371602,Binzhou,117.970703,37.38199,50473,122227,132396,395757
3367510181,Dujiangyan,103.646956,30.988411,62589,122178,117986,262421
2288361102,Shangrao,117.943433,28.454863,58964,120903,124168,327703
2354140802,Yuncheng,111.007324,35.026372,32963,120246,159807,271820
3561222405,Longjing,129.427066,42.766311,121258,120204,140664,162897
3318420984,Hanchuan,113.839149,30.661244,48781,120027,120653,301811
3142330782,Yiwu,120.075058,29.306841,21269,119929,114258,560317
3514360983,Gaoan,115.375616,28.417255,29038,118666,172126,186513
3439421087,Songzi,111.779894,30.176768,47816,118344,99835,220548
3593220382,Shuangliao,123.502724,43.518302,62883,117604,109121,152180
