ID,Name,Lat,Long,Alt,1960,1970,1980,1991,2000,2010
1200401,Rio Branco,-15.23568281,-58.11793935,187.085274,49075,83977,117103,187169,253059,335796
5201108,Anapolis,-16.32882574,-48.9572179,1023.435239,68016,105029,180015,239378,288085,335032
4314407,Pelotas,-31.71959788,-52.34432006,15.386528,178265,207869,259950,291100,323158,327778
3516200,Franca,-20.536097,-47.40233163,996.072653,66702,93638,148997,233098,287737,318785
2604106,Caruaru,-8.285898,-35.96707336,533.54197,106231,142653,172532,213697,253634,314951
4119905,Ponta Grossa,-25.092547,-50.16144206,955.176664,90889,126940,186647,233984,273616,311697
2933307,Vitoria da Conquista,-14.84800481,-40.83980954,929.23115,141835,125573,170624,225091,262494,306374
3303906,Petropolis,-22.51059861,-43.17733658,829.429386,150300,189140,242009,255468,286537,296044
3170107,Uberaba,-19.71353461,-47.9836249,777.457503,87581,124490,199203,211824,252051,296000
1506807,Santarem,-2.43621333,-54.71857017,52.691026,91211,135215,191950,265062,262538,294774
4104808,Cascavel,-4.131433678,-38.23968594,41.481233,39598,89981,163459,192990,245369,286172
1400100,Boa Vista,2.816681919,-60.67053267,79.828228,26168,36464,67047,144249,200568,284258
3554102,Taubate,-23.0265555,-45.5566087,586.078506,77307,110585,169265,206965,244165,278724
3526902,Limeira,-22.562194,-47.40193952,579.497976,59824,90963,150558,207770,249046,276010
3127701,Governador Valadares,-18.8528824,-41.94708133,173.146641,120602,162020,196115,230524,247131,263594
4316907,Santa Maria,-5.838518701,-35.69036386,106.749002,120975,156609,181579,217592,243611,261027
2408003,Mossoro,-5.193801235,-37.35687414,26.204606,57690,97245,145989,192267,213841,259886
3306305,Volta Redonda,-22.5099676,-44.09352188,377.256673,88740,125295,183641,220305,242063,257996
4108304,Foz do Igua_u,-25.54249328,-54.58710249,161.684267,28212,33966,136321,190123,258543,256081
1504208,Maraba,-5.352605763,-49.14202533,83.617783,20075,24474,59915,123668,168020,233462
3548906,Sao Carlos,-27.07863508,-53.01739427,293.198058,61287,85425,119542,158221,192998,221936
3529005,Marilia,-22.214933,-49.95164564,657.30619,89198,98176,121774,161149,197342,216684
3167202,Sete Lagoas,-19.45828742,-44.23959462,781.567513,41405,66585,100628,144014,184871,214071
3122306,Divinopolis,-20.14207397,-44.89388553,739.165326,52840,80344,117330,151462,183962,213076
3524402,Jacarei,-23.3048805,-45.9695932,572.585517,34860,61216,115732,163869,191291,211308
3503208,Araraquara,-21.7903595,-48.17443994,673.072594,81600,100438,128109,166731,182471,208725
3541406,Presidente Prudente,-22.1227435,-51.38676558,478.615165,71270,105707,136846,165484,189186,207625
3302403,Macae,-22.36870497,-41.77506429,7.462816,58805,65318,75851,100895,132461,206748
2914802,Itabuna,-14.78903955,-39.27310895,61.765312,116967,112721,153342,185277,196675,204710
4315602,Rio Grande,-32.05044579,-52.0867697,2.920139,100378,116488,146115,172422,186544,197253
5003702,Dourados,-22.22723554,-54.81128912,444.064306,84955,79176,106493,135894,164949,196068
5107602,Rondonopolis,-16.47016287,-54.63358704,232.440085,22554,62086,81366,126627,150227,195550
3201209,Cachoeiro de Itapemirim,-20.85011235,-41.11191881,35.668402,91564,100010,123699,143449,174879,189878
2312908,Sobral,-3.688037684,-40.34866803,75.009161,72511,102197,118026,127489,155276,188271
3543907,Rio Claro,-22.73172683,-44.13940564,458.132912,59843,78040,110212,138243,168218,186299
3300704,Cabo Frio,-22.88076467,-42.0200748,10.903366,27441,44379,70955,84915,126828,186222
4314100,Passo Fundo,-28.26176713,-52.40709509,690.554597,93179,93850,121156,147318,168458,184869
2913606,Ilheus,-14.79332027,-39.04318429,54.213815,103274,107971,131454,223750,222127,184231
3303401,Nova Friburgo,-22.28646146,-42.53277126,856.34728,70145,90420,123370,167081,173418,182016
3502804,Ara_atuba,-21.205476,-50.43922607,403.101822,79777,108512,129304,159557,169254,181618
3300407,Barra Mansa,-22.54530113,-44.17243137,391.816876,63814,101660,134741,172216,170753,177861
5218805,Rio Verde,-17.7945434,-50.92968093,743.307482,39823,55697,74694,96309,116552,176502
4106605,Cruzeiro do Oeste,-23.77690486,-53.08182161,461.701275,135816,369730,253827,207810,170063,175781
1502400,Castanhal,-1.295756805,-47.92664314,46.797427,19717,37910,65251,102071,134496,173096
3300100,Angra dos Reis,-23.00911594,-44.31962726,7.635593,28773,40276,57861,85571,119247,169270
4109401,Guarapuava,-25.39359198,-51.46343108,1110.34937,96947,110903,158587,159634,155161,167463
3305802,Teresopolis,-22.40900495,-42.96295671,931.835337,52318,73128,98705,120709,138081,163805
2804805,Nossa Senhora do Socorro (Cotinguiba),-10.84875418,-37.12849613,11.053839,7713,9346,13688,67574,131679,160829
2103000,Caxias,-4.86167499,-43.35853943,77.461758,129271,88334,125507,145725,139756,155202
3523909,Itu,-23.2654425,-47.29974984,587.35891,37027,49091,74204,107314,135366,154200
3151800,Po_os de Caldas,-21.78736358,-46.56641005,1199.440439,38198,57565,86972,110123,135627,152496
2918001,Jequie,-13.85566401,-40.08860733,214.152918,111801,100174,116868,144772,147202,151921
1702109,Araguaina,-7.19132894,-48.20870525,235.277019,10622,37780,72069,103315,113143,150520
3538006,Pindamonhangaba,-22.92666873,-45.46204885,559.005175,39142,48222,69562,102063,126026,147034
3507605,Bragan_a Paulista,-22.9568955,-46.54233337,865.334635,68469,63676,84048,108980,125031,146663
2207702,Parnaiba,-2.903360145,-41.77817059,6.629508,63496,79216,102181,127929,132282,145729
3522307,Itapetininga,-23.5878725,-48.0461429,668.679162,46428,63606,84384,105132,125559,144416
2900702,Alagoinhas,-12.13418259,-38.42261577,141.137056,74455,77963,102174,116894,130095,142160
3203205,Linhares,-19.39810593,-40.0653058,29.167078,66418,92329,123168,119690,112617,141254
1500107,Abaetetuba,-1.723469863,-48.88440382,10.120343,44584,57520,74545,99989,119152,141054
4118204,Paranagua,-25.5068415,-48.52473284,7.012459,38825,62327,81974,107675,127339,140450
3148004,Patos de Minas,-18.59257082,-46.51591568,836.073758,96693,76211,86121,102946,123881,138836
2903201,Barreiras,-12.14492489,-45.00416844,441.997802,36971,20864,41462,92640,131849,137428
3530706,Mogi Gua_u,-22.36572019,-46.94447409,607.014521,24398,42710,73549,107454,124228,137286
3168606,Teofilo Otoni,-17.86253981,-41.50963517,352.998455,127447,133017,128827,140833,129424,134733
3525300,Jau,-22.29579099,-48.55814139,526.28819,53536,56301,74011,94116,112104,131068
3152501,Pouso Alegre,-22.230303,-45.93714428,840.133461,27208,38062,57364,81836,106776,130586
2616407,Vitoria de Santo Antao,-8.118748,-35.29386424,154.506883,88993,80537,93203,106848,117609,130540
2606002,Garanhuns,-8.88890553,-36.49305028,869.211553,113392,71623,87038,103341,117749,129392
3507506,Botucatu,-22.8883815,-48.44128938,818.475551,43595,51954,64539,90761,108306,127370
2925303,Porto Seguro,-16.44905618,-39.06211352,4.196201,46213,33108,46304,34661,95721,126770
3504107,Atibaia,-23.116308,-46.5550625,807.988014,23051,36838,57807,86336,111300,126614
3105608,Barbacena,-21.22491538,-43.77619332,1129.885228,66284,73898,86388,99954,114126,126325
4322400,Uruguaiana,-29.75982317,-57.08182491,78.23019,63713,74613,91497,117456,126936,125507
3170701,Varginha,-21.55708004,-45.43188614,906.998396,33221,38100,64906,88022,108998,123120
1502103,Cameta,-2.24683848,-49.49783017,11.228958,55648,59754,79317,85187,97624,120904
4101408,Apucarana,-23.55159298,-51.45998514,866.281028,66091,69302,80245,95064,107827,120884
3304201,Resende,-22.47118359,-44.44361342,400.771136,48797,66907,87335,91757,104549,119801
4127700,Toledo,-22.74339481,-46.37897266,1100.653927,24959,68885,81282,94879,98200,119353
3503307,Araras,-22.35708652,-47.38582953,635.498215,38875,53422,65017,87459,104196,118898
4316808,Santa Cruz do Sul,-29.71976843,-52.42992859,61.002516,76854,86787,99636,117773,107632,118287
2103307,Codo,-4.4513375,-43.88608024,44.265667,71781,93003,108965,111967,111146,118072
4301602,Bage,-31.33050184,-54.10708329,209.095691,77392,90280,100135,118967,118767,116792
3118304,Conselheiro Lafaiete,-20.6608518,-43.78844466,983.628752,55419,50960,72438,89059,102836,116527
2306405,Itapipoca,-3.4994355,-39.58348158,107.439849,78770,94846,103823,77263,94369,116065
1501709,Bragan_a,-1.053523956,-46.76575421,16.040139,67938,61934,85087,97149,93779,113165
3511102,Catanduva,-21.1395385,-48.97587094,524.835559,48324,58251,72866,93317,105847,112843
3505500,Barretos,-20.55845551,-48.56737784,537.663597,58005,65574,72769,95414,103913,112102
3518404,Guaratingueta,-22.81742509,-45.19160013,544.178569,52044,68869,84879,102072,104219,112091
3300209,Araruama,-22.87743839,-42.34109602,12.103627,30904,40031,49822,59024,82803,112028
3201506,Colatina,-19.53627008,-40.63031755,44.142861,154966,105096,111676,106845,112711,111794
3551702,Sertaozinho,-6.750797546,-35.44175075,132.593579,26201,31066,51544,78776,94664,110094
3103504,Araguari,-18.64826953,-48.19160538,925.120585,51785,63368,83523,91283,101974,109779
3131703,Itabira,-19.63816949,-43.22395162,783.410707,36821,56352,71115,85606,98322,109551
3204906,Sao Mateus,-18.71844697,-39.8582006,33.206081,40786,41150,55083,73903,90460,109067
3506508,Birigui,-21.29239229,-50.33932852,414.402441,30835,34976,50889,75125,94300,108722
2924009,Paulo Afonso,-9.403331697,-38.21832897,242.984638,24781,46126,71131,85619,96499,108419
3554003,Tatui,-23.3485765,-47.84946403,622.416672,31174,39760,55489,76816,93430,107975
4302105,Bento Gon_alves,-29.16740193,-51.51556031,629.117207,33956,41979,58941,78643,91486,107341
3147907,Passos,-20.7192119,-46.61141257,745.203364,46907,54879,69054,84622,97211,106313
3545209,Salto,-23.20407381,-47.29241563,554.423667,15351,21772,42376,72333,93159,105569
1500602,Altamira,-3.20565951,-52.21437631,104.748288,12423,15345,46509,72408,77439,105030
4101507,Arapongas,-23.41351653,-51.43827973,801.952842,38067,51210,54688,64556,85428,104161
5003207,Corumba,-19.00637465,-57.64898546,149.864792,59556,81887,81145,88411,95701,103772
3534708,Ourinhos,-22.9772675,-49.86857984,482.571161,33763,49221,59739,76923,93868,103026
1303403,Parintins,-2.627052586,-56.73629215,17.327756,27506,38086,51391,58783,90150,102066
5008305,Tres Lagoas,-20.78867916,-51.71000063,329.586011,32023,55513,57904,68162,79059,101722
3169901,Uba,-21.11859695,-42.93678646,339.651383,49874,44503,53311,66511,85065,101466
3510500,Caraguatatuba,-23.6220065,-45.41081838,3.194618,9697,15073,33799,52878,78921,100899
3143906,Muriae,-21.13204679,-42.3610749,202.422773,52600,58153,69990,84585,92101,100861
2510808,Patos,-7.024491668,-37.27691334,243.837611,61178,46414,65160,81298,91761,100695
2101202,Bacabal,-4.23152463,-44.78155596,25.184611,108509,69578,81373,98793,91823,99960
1501303,Barcarena,-1.505767005,-48.62707289,7.076526,15261,17498,20021,45946,63268,99800
