ID,Name,Lat,Long,1954,1962,1968,1975,1982,1990,1999
29233,Quimperlé,47.872586,-3.547546,14263,14413,14799,15568,16514,16786,16962
29259,Saint-Pol-de-Léon,48.685113,-3.986533,14938,13928,13415,13467,13190,13180,12804
2A004,Ajaccio,41.91987,8.794013,40857,45897,55206,60911,69524,78978,77287
2B033,Bastia,42.547615,9.480124,45185,47474,59208,67180,72542,71436,76439
30007,Alès,44.144886,4.095647,67688,75150,77998,80932,85250,88912,89390
30028,Bagnols-sur-Cèze,44.1592688,4.6169524,7313,15483,19164,20396,21517,22074,22648
30032,Beaucaire,47.2088413,2.9133596,17941,19698,23324,23194,23575,24226,26416
30189,Nîmes,43.7603993,4.4217822,114600,127294,154707,168263,181052,204173,221455
31483,Saint-Gaudens,43.107406,0.618829,21223,23689,25023,25842,25773,26293,26036
31555,Toulouse,43.5633628,1.4672123,436052,501792,596595,687212,737448,841152,964797
32013,Auch,43.6875871,0.6025033,26748,29083,31334,33279,34632,36459,35958
33009,Arcachon,44.5975384,-1.1147109,31357,33299,38417,39512,42877,47141,54204
33063,Bordeaux,44.7996512,-0.6105042,592356,630291,696039,750409,799897,871234,925253
33227,Langon,44.553889,-0.248333,7803,8110,8237,8818,10091,10673,11423
33243,Libourne,44.9841784,-0.1372134,25452,25901,28481,29101,30963,30907,31662
34003,Agde,43.275846,3.513232,7897,8751,10184,11605,13107,17583,19988
34032,Béziers,43.3225036,3.352911,94181,103931,112951,119348,117566,120561,124967
34145,Lunel,43.6789359,4.1326662,9573,10828,12921,15564,18633,22742,28558
34172,Montpellier,43.6221249,3.8620402,148472,175247,230148,284541,328210,388747,459916
34301,Sète,42.9255924,3.5275043,42393,46923,53980,54974,59566,63833,66177
35093,Dinard,48.587778,-2.08,19869,20745,20566,20861,22403,23808,25089
35115,Fougères,46.2631889,2.2549389,37902,38596,39773,40551,41240,40228,40132
35236,Redon,47.65,-2.084,19668,20999,22228,23797,24703,25823,26522
35238,Rennes,48.1178068,-1.6970733,265703,292835,332956,380404,420742,461143,521188
35288,Saint-Malo,48.6321317,-1.9787761,51073,55301,56318,59262,62267,66258,70303
35360,Vitré,48.1093529,-1.197146,17019,17389,18245,19258,20774,23012,24690
36044,Châteauroux,46.859935,1.7200194,67181,76566,77594,87027,89730,91409,90573
36088,Issoudun,46.8889625,2.0394661,17788,18538,19221,19692,18709,18381,18388
37003,Amboise,47.4105972,0.9798728,13341,14665,15422,18435,19598,20642,21725
37261,Tours,47.391043,0.689297,198259,224380,266348,308448,331959,353790,376374
38053,Bourgoin-Jallieu,45.6116256,5.3124289,19418,22189,26691,29977,32051,33510,35382
38185,Grenoble,45.195057,5.732322,237407,314516,383935,445058,461459,485369,514559
38344,Roussillon,43.9601057,7.1570617,22254,27601,31116,31989,33608,36355,38675
